site,year,month_year,date,patch,plot,subplot,PIUV_less5cmDBH_total,PIUV_less130cm_total,PIUV_5to130_total,PIUV_less5cm,PIUV_greatequal5cm,PIUV_5to30cm,PIUV_31to130cm,PIUV_great130cm,soil_to40cm,soil2,nst_height_m,nst_dist_m,nst_dir,stpres_5m,stmh_5m,cnt_stmh_5m,stpres_10m,stmh_10m,cnt_stmh_10m,stpres_20m,stmh_20m,cnt_stmh_20m,light_cond,par_time,par0.3,par1.3,dwt1,dwt2,dwt3,dwt_eqgreat0,pool_pres,pool,bare_ground,litter,wood,trunk,Dicran,Sphagnum,om,cush_spp,sub_dom,NMDS_axis1,NMDS_axis2,NMDS_axis3,OS_less30cm,OS_31to130,OS_great130cm,OS_total,Plot_PIUVcnt,logpar0.3_resid,logpar1.3_resid,logparratio_resid,subNMDS_a1,subNMDS_a2,subNMDS_a3,us_emshr,us_shrubs,us_trees
RMB,2018,18-Mar,3/31/2018,Bog Forest,BF07,BF0703,17,16,16,0,17,8,8,1,Mucky Peat,Mucky Peat,1.5,0,W,1,3 to 5,1 to 2,1,3 to 5,3 to 5,1,3 to 5,3 to 5,Sun,12:41:00,257.65,428.64,14,32,41,0,1,10,0,5,0,10,1,75,1,0,Sphagnum,-0.3435,-0.0134,0.4642,25,22,0,47,0,0.049536999,-0.173957964,-0.191712197,0.9762,0.55304,-0.11942,10.5,7.0,35
RMB,2018,18-Mar,3/31/2018,Bog Forest,BF07,BF0704,11,2,1,1,10,0,1,9,Decaying SPMA,Moss,2,0.5,NE,1,3 to 5,3 to 5,1,3 to 5,3 to 5,1,3 to 5,3 to 5,Sun,14:27:00,143.33,714.68,48,63,64,0,1,10,0,5,0,1,1,95,1,0,Sphagnum,-0.2639,0.0166,0.6398,3,8,3,14,0,-0.220848949,0.029932273,0.284999782,1.1171,0.56666,0.02656,5.0,2.0,45
RMB,2018,18-Apr,4/1/2018,Bog Forest,BF08,BF0801,14,13,10,3,11,0,10,1,Mucky Peat,Mucky Peat,1,0,N,1,1 to 2,6 to 12,1,3 to 5,3 to 5,1,3 to 5,3 to 5,Sun,15:31:00,257.89,648.61,51,69,-4,1,1,10,1,15,0,0,15,0,80,0,Other moss,0.1938,0.4482,-0.3958,0,11,2,13,0,0.033555721,-0.045132273,-0.011555348,-0.599,-0.20465,0.30044,23.5,11.5,25
RMB,2018,18-Apr,4/1/2018,Bog Forest,BF08,BF0802,13,13,13,0,13,0,13,0,Muck,Muck,1,1,S,1,1 to 2,6 to 12,1,3 to 5,3 to 5,1,3 to 5,1 to 2,Sun,11:23:00,411.4,780.9,5,18,27,0,1,25,0,10,0,0,15,0,85,0,Other moss,0.0299,0.5392,-0.562,2,17,0,19,0,0.309575672,0.120029975,-0.13377335,-0.5336,-0.32754,0.06125,23.5,10.5,25
RMB,2018,18-Apr,4/1/2018,Bog Forest,BF08,BF0803,9,9,9,0,9,3,6,0,Muck,Muck,1,0,W,1,1 to 2,1 to 2,1,3 to 5,3 to 5,1,3 to 5,1 to 2,Sun,12:01:00,159.99,915.45,15,-2,13,1,1,20,10,5,0,0,1,0,90,0,Other moss,-0.2019,0.6307,-0.3427,0,13,1,14,0,-0.20286937,0.081143,0.345437305,-0.5804,-0.35595,0.00121,51.0,20.5,30
RMB,2018,18-Apr,4/1/2018,Bog Forest,BF08,BF0804,22,22,22,0,22,20,2,0,Muck,Muck,0.5,0,NE,1,1 to 2,1 to 2,1,3 to 5,3 to 5,1,3 to 5,1 to 2,Sun,12:02:00,739.33,787.84,-1,-7,2,1,1,25,5,15,0,0,0,0,100,0,Other moss,-0.7613,0.152,-1.1754,2,2,0,4,0,0.461876121,0.015946398,-0.384504788,-0.569,-0.2785,0.03154,77.0,40.5,1
RMB,2018,18-Apr,4/1/2018,Bog Forest,BF09,BF0901,23,19,19,0,23,0,19,4,Decaying SPMA,Moss,2,0.5,SW,1,3 to 5,1 to 2,1,3 to 5,1 to 2,1,3 to 5,3 to 5,Sun,14:08:00,96.22,828.29,54,50,30,0,1,1,0,15,0,0,10,90,5,0,Sphagnum,-0.2718,0.1117,0.5952,0,16,3,19,0,-0.124113851,0.147971211,0.499505302,0.9239,0.7083,0.19848,9.0,6.0,71
RMB,2018,18-Apr,4/1/2018,Bog Forest,BF09,BF0902,6,6,6,0,6,0,6,0,Other Moss,Moss,2,0.5,SW,1,3 to 5,1 to 2,1,3 to 5,1 to 2,1,3 to 5,3 to 5,Sun,14:38:00,272.77,465.47,47,13,9,0,1,1,0,20,0,1,20,0,80,0,Other moss,0.49,0.5804,0.084,1,0,5,6,0,0.359164991,-0.072090656,-0.203316672,-0.6786,-0.04361,0.46806,14.5,2.0,65.5
RMB,2018,18-Apr,4/1/2018,Bog Forest,BF09,BF0903,5,1,1,0,5,0,1,4,Mucky Peat,Mucky Peat,2,0,W,1,3 to 5,1 to 2,1,3 to 5,1 to 2,1,3 to 5,6 to 12,Sun,15:26:00,43.7,493.81,80,94,78,0,1,1,0,25,0,0,15,0,85,0,Other moss,0.5722,0.535,0.1602,2,3,4,9,0,-0.436150175,-0.046422471,0.61766668,-0.6968,-0.02419,0.45166,27.5,6.5,55.5
RMB,2018,18-Apr,4/1/2018,Bog Forest,BF09,BF0904,7,6,6,0,7,0,6,1,Other Moss,Moss,1.5,0,SE,1,3 to 5,1 to 2,1,3 to 5,1 to 2,1,3 to 5,6 to 12,Sun,15:28:00,114.21,562.55,55,5,50,0,1,15,0,20,0,1,30,0,70,0,Other moss,0.3793,0.7382,0.132,0,2,65,67,0,-0.018927481,0.010178778,0.257045234,-0.5604,-0.34315,0.31715,9.5,2.0,56
